OBJECTID,AREA,dcode,dname,dname_e,pcode,pname,num_male,num_female,num_school,num_hos,num_comm,num_temple,num_health
29,11804564.0,1025,เขตบางพลัด,Bang Phlat,10,กรุงเทพมหานคร,45904,53249,11,0,46,23,1
30,16319268.0,1017,เขตห้วยขวาง,Huai Khwang,10,กรุงเทพมหานคร,35884,42323,3,0,25,3,2
31,17075578.0,1045,เขตวังทองหลาง,Wang Thong Lang,10,กรุงเทพมหานคร,52758,61990,3,0,19,1,0
32,51732144.0,1048,เขตทวีวัฒนา,Thawi Watthana,10,กรุงเทพมหานคร,35487,40787,7,0,16,3,1
33,128628048.0,1011,เขตลาดกระบัง,Lat Krabang,10,กรุงเทพมหานคร,78158,85159,20,1,63,13,2
34,8465891.0,1026,เขตดินแดง,Din Daeng,10,กรุงเทพมหานคร,60811,69391,3,0,22,2,2
35,35767720.0,1019,เขตตลิ่งชัน,Taling Chan,10,กรุงเทพมหานคร,50263,56269,16,0,44,30,1
36,11329900.0,1002,เขตดุสิต,Dusit,10,กรุงเทพมหานคร,57582,50387,9,1,47,17,2
37,28068656.0,1044,เขตสะพานสูง,Saphan Sung,10,กรุงเทพมหานคร,41610,48285,6,0,30,1,1
39,9214668.0,1014,เขตพญาไท,Phaya Thai,10,กรุงเทพมหานคร,36433,36651,1,0,29,1,2
40,12323945.0,1020,เขตบางกอกน้อย,Bangkok Noi,10,กรุงเทพมหานคร,55984,61966,15,0,43,32,1
41,7167652.0,1037,เขตราชเทวี,Ratchathewi,10,กรุงเทพมหานคร,35190,38090,4,0,25,4,1
42,5361067.0,1001,เขตพระนคร,Phra Nakhon,10,กรุงเทพมหานคร,27809,30022,11,0,21,23,2
43,2504113.0,1008,เขตป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,10,กรุงเทพมหานคร,24786,26144,4,1,15,11,1
44,8032768.0,1007,เขตปทุมวัน,Parthum Wan,10,กรุงเทพมหานคร,24883,29029,8,0,17,6,2
45,47890656.0,1040,เขตบางแค,Bang Khae,10,กรุงเทพมหานคร,89905,101876,12,1,48,5,1
46,24113560.0,1034,เขตสวนหลวง,Suanluang,10,กรุงเทพมหานคร,53828,61903,8,0,46,8,2
47,12996544.0,1039,เขตวัฒนา,Vadhana,10,กรุงเทพมหานคร,38567,43188,8,0,17,2,1
48,6298272.0,1016,เขตบางกอกใหญ่,Bangkok Yai,10,กรุงเทพมหานคร,34182,38059,6,0,34,13,1
49,19182494.0,1022,เขตภาษีเจริญ,Phasi Charoen,10,กรุงเทพมหานคร,61178,68622,13,0,54,27,2
50,1392972.75,1013,เขตสัมพันธวงศ์,Samphanthawong,10,กรุงเทพมหานคร,13317,14109,3,0,19,13,1
51,13240401.0,1033,เขตคลองเตย,Khlong Toei,10,กรุงเทพมหานคร,52428,56573,4,0,41,3,2
52,8461864.0,1015,เขตธนบุรี,Thon buri,10,กรุงเทพมหานคร,56676,62967,17,0,44,25,3
53,5965976.0,1018,เขตคลองสาน,Khlong San,10,กรุงเทพมหานคร,35832,40521,8,1,44,8,1
54,53728764.0,1032,เขตประเวศ,Pra Wet,10,กรุงเทพมหานคร,76182,84634,16,0,42,6,1
55,4012576.0,1004,เขตบางรัก,Bang Rak,10,กรุงเทพมหานคร,21788,24324,5,0,16,5,1
56,36201384.0,1023,เขตหนองแขม,Nong Khaem,10,กรุงเทพมหานคร,70457,79828,6,1,71,7,1
58,7259143.0,1028,เขตสาทร,Sathon,10,กรุงเทพมหานคร,40560,44488,2,0,25,3,1
60,12504782.0,1012,เขตยานนาวา,Yan na wa,10,กรุงเทพมหานคร,38959,42570,6,0,20,9,2
62,23167158.0,1035,เขตจอมทอง,Chom Thong,10,กรุงเทพมหานคร,75840,82130,11,0,53,16,1
63,8312167.0,1031,เขตบางคอแหลม,Bang Kho laen,10,กรุงเทพมหานคร,45548,49329,7,1,29,11,3
64,13578695.0,1009,เขตพระโขนง,Phra Khanong,10,กรุงเทพมหานคร,43142,50319,4,0,45,4,2
66,12333130.0,1024,เขตราษฏร์บูรณะ,Rat Burana,10,กรุงเทพมหานคร,41663,44980,6,0,28,7,2
67,35857236.0,1050,เขตบางบอน,Bang Bon,10,กรุงเทพมหานคร,50478,54683,9,0,12,3,1
68,18947526.0,1047,เขตบางนา,Bang Na,10,กรุงเทพมหานคร,45248,50607,7,0,39,4,1
69,122207808.0,1021,เขตบางขุนเทียน,Bang Khun thain,10,กรุงเทพมหานคร,78811,86882,16,0,49,15,1
10,36691444.0,1036,เขตดอนเมือง,Don Mueang,10,กรุงเทพมหานคร,83065,83570,6,0,92,8,1
11,240448192.0,1003,เขตหนองจอก,Nong Chok,10,กรุงเทพมหานคร,76681,80543,37,1,92,17,1
12,43612880.0,1042,เขตสายไหม,Sai Mai,10,กรุงเทพมหานคร,88764,99399,9,0,71,8,1
13,120176920.0,1046,เขตคลองสามวา,Khlong Sam Wa,10,กรุงเทพมหานคร,80701,89028,18,0,81,10,1
14,22669208.0,1041,เขตหลักสี่,Lak Si,10,กรุงเทพมหานคร,52596,57262,6,0,78,1,1
16,40959096.0,1005,เขตบางเขน,Bang Khen,10,กรุงเทพมหานคร,90854,98833,5,0,75,4,0
20,32656716.0,1030,เขตจตุจักร,Chatu Chak,10,กรุงเทพมหานคร,75637,85216,7,0,41,2,1
21,25380514.0,1043,เขตคันนายาว,Khan Na Yao,10,กรุงเทพมหานคร,41238,47233,2,0,41,2,0
22,61120416.0,1010,เขตมีนบุรี,Min Buri,10,กรุงเทพมหานคร,65039,72256,13,0,62,6,1
23,21266434.0,1038,เขตลาดพร้าว,Lat Phrao,10,กรุงเทพมหานคร,55721,66431,6,0,34,4,1
24,12885789.0,1029,เขตบางซื่อ,Bang Sue,10,กรุงเทพมหานคร,62623,69546,7,0,49,9,2
25,23404956.0,1027,เขตบึงกุ่ม,Bueng Kum,10,กรุงเทพมหานคร,67066,78729,8,0,38,5,1
28,27587404.0,1006,เขตบางกะปิ,Bang Kapi,10,กรุงเทพมหานคร,67729,80762,11,0,28,5,1
72,32950616.0,1049,เขตทุ่งครุ,Thung khru,10,กรุงเทพมหานคร,54909,61614,8,0,30,4,2
