Unnamed: 0,หมายเลขงบ,ชื่องบ,จำนวนรวม,หมายเลขงบแผนงาน,แผนงาน,งบแผนงาน,dname,province,zipcode,latitude,longitude,AREA,dcode,dname_e,pcode,num_male,num_female,num_school,num_hos,num_comm,num_temple,num_health
0,1,งบกลาง,14878887438,ก,เงินสำรองจ่ายท่ัวไป,486536500,,,,,,,,,,,,,,,,
1,1,งบกลาง,14878887438,ข,เงินช่วยเหลือข้าราชการและลูกจ้าง,2700000000,,,,,,,,,,,,,,,,
2,1,งบกลาง,14878887438,ค,เงินบำเหน็จลูกจ้าง,650000000,,,,,,,,,,,,,,,,
3,1,งบกลาง,14878887438,ง,ค่าติดต้ังไฟฟ้าสาธารณะ,200000000,,,,,,,,,,,,,,,,
4,1,งบกลาง,14878887438,จ,เงินสำรองสำหรับค่างาน ส่วนท่ีเพิ่มตามสัญญา แบบปรับราคาได้,20000000,,,,,,,,,,,,,,,,
5,1,งบกลาง,14878887438,ช,ค่าใช้จ่ายเก่ียวกับภารกิจและ หรือนโยบายท่ีได้รับมอบจากรัฐบาล,4395109000,,,,,,,,,,,,,,,,
6,1,งบกลาง,14878887438,ซ,เงินรางวัลและเงินช่วยเหลือสำหรับผลการปฏิบัติราชการประจำปี,2000000000,,,,,,,,,,,,,,,,
7,1,งบกลาง,14878887438,ญ,เงินสำรองสำหรับภาระผูกพันท่ีค้างจ่ายตามกฎหมาย,1555873938,,,,,,,,,,,,,,,,
8,1,งบกลาง,14878887438,ฎ,เงินช่วยค่าครองชีพผู้ได้รับบำนาญของกรุงเทพมหานคร,218000000,,,,,,,,,,,,,,,,
9,1,งบกลาง,14878887438,ฏ,เงินสำรองสำหรับจ่ายเป็นเงินบำเหน็จบำนาญข้าราชการกรุงเทพมหานคร,2353368000,,,,,,,,,,,,,,,,
10,2,สำนักงานเลขานุการสภากรุงเทพมหานคร,82258900,,รายจ่ายประจำ: งานบริหารท่ัวไป,82258900,,,,,,,,,,,,,,,,
11,3,สำนักงานเลขานุการผู้ว่าราชการกรุงเทพมหานคร,70920000,,รายจ่ายประจำ: งานบริหารท่ัวไป,70920000,,,,,,,,,,,,,,,,
12,4,สำนักงานคณะกรรมการข้าราชการกรุงเทพมหานคร,199359000,,รายจ่ายประจำ: งานบริหารงานบุคคล,199359000,,,,,,,,,,,,,,,,
13,5,สำนักปลัดกรุงเทพมหานคร,1252316900,,รายจ่ายประจำ,1252316900,,,,,,,,,,,,,,,,
14,5,สำนักปลัดกรุงเทพมหานคร,1252316900,ก,แผนงานบริหารท่ัวไป,222688400,,,,,,,,,,,,,,,,
15,5,สำนักปลัดกรุงเทพมหานคร,1252316900,ข,แผนงานบริหารงานปกครองและทะเบียน: งานปกครองและทะเบียน,302761800,,,,,,,,,,,,,,,,
16,5,สำนักปลัดกรุงเทพมหานคร,1252316900,ค,แผนงานบริหารการคลัง: งานตรวจสอบภายใน,29591800,,,,,,,,,,,,,,,,
17,5,สำนักปลัดกรุงเทพมหานคร,1252316900,ง,แผนงานบริหารงานบุคคล,160469500,,,,,,,,,,,,,,,,
18,5,สำนักปลัดกรุงเทพมหานคร,1252316900,จ,แผนงานส่งเสริมระบบบริหาร,536805400,,,,,,,,,,,,,,,,
19,6,สำนักการแพทย์,4124634800,,รายจ่ายประจำ,4124634800,,,,,,,,,,,,,,,,
20,6,สำนักการแพทย์,4124634800,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการสาธารณสุข,99145300,,,,,,,,,,,,,,,,
21,6,สำนักการแพทย์,4124634800,ข,แผนงานบริการด้านการแพทย์,4008758600,,,,,,,,,,,,,,,,
22,6,สำนักการแพทย์,4124634800,ค,แผนงานพัฒนาด้านการแพทย์และอนามัย: งานพัฒนาระบบบริการทางการแพทย์,16730900,,,,,,,,,,,,,,,,
23,7,สำนักอนามัย,2474279800,,รายจ่ายประจำ,2474279800,,,,,,,,,,,,,,,,
24,7,สำนักอนามัย,2474279800,ก,แผนงานบริหารท่ัวไป,85100100,,,,,,,,,,,,,,,,
25,7,สำนักอนามัย,2474279800,ข,แผนงานอนามัยส่ิงแวดล้อม,64194500,,,,,,,,,,,,,,,,
26,7,สำนักอนามัย,2474279800,ค,แผนงานอนามัย,2324985200,,,,,,,,,,,,,,,,
27,8,สำนักการศึกษา,1241703800,,รายจ่ายประจำ,1241703800,,,,,,,,,,,,,,,,
28,8,สำนักการศึกษา,1241703800,ก,แผนงานบริหารท่ัวไป,511645100,,,,,,,,,,,,,,,,
29,8,สำนักการศึกษา,1241703800,ข,แผนงานพัฒนาคุณภาพการศึกษา,730058700,,,,,,,,,,,,,,,,
30,9,สำนักการโยธา,9229858000,,รายจ่ายประจำ,9229858000,,,,,,,,,,,,,,,,
31,9,สำนักการโยธา,9229858000,ก,แผนงานบริหารท่ัวไป,134049980,,,,,,,,,,,,,,,,
32,9,สำนักการโยธา,9229858000,ข,แผนงานการโยธา,7504680720,,,,,,,,,,,,,,,,
33,9,สำนักการโยธา,9229858000,,ถนนหน้าพระลาน,8000000,,,,,,,,,,,,,,,,
34,9,สำนักการโยธา,9229858000,ค,แผนงานพัฒนาการโยธาและระบบจราจร,1591127300,,,,,,,,,,,,,,,,
35,10,สำนักการระบายน้ำ,8213452000,,รายจ่ายประจำ,8213452000,,,,,,,,,,,,,,,,
36,10,สำนักการระบายน้ำ,8213452000,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการระบายน้ำ,37969359,,,,,,,,,,,,,,,,
37,10,สำนักการระบายน้ำ,8213452000,ข,แผนงานพัฒนาระบบระบายน้ำ,2499271826,,,,,,,,,,,,,,,,
38,10,สำนักการระบายน้ำ,8213452000,ค,แผนงานจัดการระบายน้ำและแก้ไขปัญหาน้ำท่วม,2765737870,,,,,,,,,,,,,,,,
39,10,สำนักการระบายน้ำ,8213452000,ง,แผนงานจัดการคุณภาพน้ำ,2910472945,,,,,,,,,,,,,,,,
40,10,สำนักการระบายน้ำ,8213452000,,ริมคลองแสนแสบช่วงถนนวิทยุ-คลองตัน เข้าโรงควบคุมคุณภาพน้ำดินแดง,160804000,,,,,,,,,,,,,,,,
41,11,สำนักการคลัง,3606450400,,รายจ่ายประจำ,3606450400,,,,,,,,,,,,,,,,
42,11,สำนักการคลัง,3606450400,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไป,21528800,,,,,,,,,,,,,,,,
43,11,สำนักการคลัง,3606450400,ข,แผนงานบริหารการคลัง,3230030900,,,,,,,,,,,,,,,,
44,11,สำนักการคลัง,3606450400,ค,แผนงานส่งเสริมระบบบริหาร,354890700,,,,,,,,,,,,,,,,
45,12,สำนักเทศกิจ,184580000,,รายจ่ายประจำ,184580000,,,,,,,,,,,,,,,,
46,12,สำนักเทศกิจ,184580000,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการรักษาความสะอาด,40694400,,,,,,,,,,,,,,,,
47,12,สำนักเทศกิจ,184580000,ข,แผนงานส่งเสริมระบบบริหาร: งานศูนย์วิทยุส่ือสารกรุงเทพมหานคร,27442200,,,,,,,,,,,,,,,,
48,12,สำนักเทศกิจ,184580000,ค,แผนงานพัฒนาและส่งเสริม: งานนโยบายและแผนงาน,12513700,,,,,,,,,,,,,,,,
49,12,สำนักเทศกิจ,184580000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย,103929700,,,,,,,,,,,,,,,,
50,13,สำนักการจราจรและขนส่ง,4327231000,,รายจ่ายประจำ,4327231000,,,,,,,,,,,,,,,,
51,13,สำนักการจราจรและขนส่ง,4327231000,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการโยธาและระบบจราจร,26537900,,,,,,,,,,,,,,,,
52,13,สำนักการจราจรและขนส่ง,4327231000,ข,แผนงานพัฒนาการใช้ท่ีดินและระบบจราจร,4300693100,,,,,,,,,,,,,,,,
53,13,สำนักการจราจรและขนส่ง,4327231000,,สายไฟฟ้าอากาศเป็นสายไฟฟ้าใต้ดินของการไฟฟ้านครหลวง บริเวณถนนรัชดาภิเษก - ถนนพระราม  และบริเวณถนนรัชดาภิเษก - ถนนอโศก,923119000,,,,,,,,,,,,,,,,
54,13,สำนักการจราจรและขนส่ง,4327231000,,ต่อการเกิดอาชญากรรมในพื นท่ีกลุ่มกรุงเทพตะวันออก,12302200,,,,,,,,,,,,,,,,
55,14,สำนักป้องกันและบรรเทาสาธารณภัย,424927020,,รายจ่ายประจำ,424927020,,,,,,,,,,,,,,,,
56,14,สำนักป้องกันและบรรเทาสาธารณภัย,424927020,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการพัฒนาและบริการสังคม,48956100,,,,,,,,,,,,,,,,
57,14,สำนักป้องกันและบรรเทาสาธารณภัย,424927020,ข,แผนงานป้องกันและบรรเทาสาธารณภัย,375970920,,,,,,,,,,,,,,,,
58,15,สำนักงบประมาณกรุงเทพมหานคร,103406000,,รายจ่ายประจำ,103406000,,,,,,,,,,,,,,,,
59,15,สำนักงบประมาณกรุงเทพมหานคร,103406000,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไป,41802900,,,,,,,,,,,,,,,,
60,15,สำนักงบประมาณกรุงเทพมหานคร,103406000,ข,แผนงานบริหารการคลัง: งานงบประมาณ,61603100,,,,,,,,,,,,,,,,
61,16,สำนักยุทธศาสตร์และประเมินผล,706753000,,รายจ่ายประจำ,706753000,,,,,,,,,,,,,,,,
62,16,สำนักยุทธศาสตร์และประเมินผล,706753000,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไป,17628300,,,,,,,,,,,,,,,,
63,16,สำนักยุทธศาสตร์และประเมินผล,706753000,ข,แผนงานส่งเสริมระบบบริหาร,663090300,,,,,,,,,,,,,,,,
64,16,สำนักยุทธศาสตร์และประเมินผล,706753000,ค,แผนงานพัฒนาการใช้ท่ีดินและระบบจราจร: งานสารสนเทศภูมิศาสตร์,26034400,,,,,,,,,,,,,,,,
65,17,สำนักส่ิงแวดล้อม,7542229000,,รายจ่ายประจำ,7542229000,,,,,,,,,,,,,,,,
66,17,สำนักส่ิงแวดล้อม,7542229000,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการรักษาความสะอาด,75096550,,,,,,,,,,,,,,,,
67,17,สำนักส่ิงแวดล้อม,7542229000,ข,แผนงานพัฒนาและส่งเสริม,53280813,,,,,,,,,,,,,,,,
68,17,สำนักส่ิงแวดล้อม,7542229000,ค,แผนงานรักษาความสะอาด,5955074487,,,,,,,,,,,,,,,,
69,17,สำนักส่ิงแวดล้อม,7542229000,,อย่างถูกสุขลักษณะ,587193800,,,,,,,,,,,,,,,,
70,17,สำนักส่ิงแวดล้อม,7542229000,,อย่างถูกหลักสุขาภิบาล,1000000,,,,,,,,,,,,,,,,
71,17,สำนักส่ิงแวดล้อม,7542229000,ง,แผนงานพัฒนาสภาวะส่ิงแวดล้อม,1458777150,,,,,,,,,,,,,,,,
72,18,สำนักวัฒนธรรม กีฬาและการท่องเท่ียว,1397374600,,รายจ่ายประจำ,1397374600,,,,,,,,,,,,,,,,
73,18,สำนักวัฒนธรรม กีฬาและการท่องเท่ียว,1397374600,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการพัฒนาและบริการสังคม,70225400,,,,,,,,,,,,,,,,
74,18,สำนักวัฒนธรรม กีฬาและการท่องเท่ียว,1397374600,ข,แผนงานบริการสังคม,681076700,,,,,,,,,,,,,,,,
75,18,สำนักวัฒนธรรม กีฬาและการท่องเท่ียว,1397374600,ค,แผนงานการท่องเท่ียว: งานวัฒนธรรมและการท่องเท่ียว,81099400,,,,,,,,,,,,,,,,
76,18,สำนักวัฒนธรรม กีฬาและการท่องเท่ียว,1397374600,ง,แผนงานการกีฬา,564973100,,,,,,,,,,,,,,,,
77,19,สำนักพัฒนาสังคม,424785000,,รายจ่ายประจำ,424785000,,,,,,,,,,,,,,,,
78,19,สำนักพัฒนาสังคม,424785000,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการพัฒนาและบริการสังคม,22941600,,,,,,,,,,,,,,,,
79,19,สำนักพัฒนาสังคม,424785000,ข,แผนงานบริการสังคม: งานสวัสดิการสังคม,66178000,,,,,,,,,,,,,,,,
80,19,สำนักพัฒนาสังคม,424785000,ค,แผนงานพัฒนาชุมชน,80444700,,,,,,,,,,,,,,,,
81,19,สำนักพัฒนาสังคม,424785000,ง,แผนงานส่งเสริมอาชีพ,255220700,,,,,,,,,,,,,,,,
82,20,สำนักการวางผังและพัฒนาเมือง,316341000,,รายจ่ายประจำ,316341000,,,,,,,,,,,,,,,,
83,20,สำนักการวางผังและพัฒนาเมือง,316341000,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการโยธาและระบบจราจร,25886500,,,,,,,,,,,,,,,,
84,20,สำนักการวางผังและพัฒนาเมือง,316341000,ข,แผนงานพัฒนาการใช้ท่ีดินและระบบจราจร,290454500,,,,,,,,,,,,,,,,
85,21,สำนักงานเขตพระนคร,412864000,,รายจ่ายประจำ,412864000,พระนคร,กรุงเทพมหานคร,10200.0,13.751,100.492,,,,,,,,,,,
86,21,สำนักงานเขตพระนคร,412864000,ก,แผนงานบริหารงานปกครองและทะเบียน,26040000,พระนคร,กรุงเทพมหานคร,10200.0,13.751,100.492,,,,,,,,,,,
87,21,สำนักงานเขตพระนคร,412864000,ข,แผนงานบริหารการคลัง,10676100,พระนคร,กรุงเทพมหานคร,10200.0,13.751,100.492,,,,,,,,,,,
88,21,สำนักงานเขตพระนคร,412864000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,192224300,พระนคร,กรุงเทพมหานคร,10200.0,13.751,100.492,,,,,,,,,,,
89,21,สำนักงานเขตพระนคร,412864000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,73902900,พระนคร,กรุงเทพมหานคร,10200.0,13.751,100.492,,,,,,,,,,,
90,21,สำนักงานเขตพระนคร,412864000,จ,แผนงานการโยธา: งานการโยธา,13901000,พระนคร,กรุงเทพมหานคร,10200.0,13.751,100.492,,,,,,,,,,,
91,21,สำนักงานเขตพระนคร,412864000,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,8121900,พระนคร,กรุงเทพมหานคร,10200.0,13.751,100.492,,,,,,,,,,,
92,21,สำนักงานเขตพระนคร,412864000,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,26083100,พระนคร,กรุงเทพมหานคร,10200.0,13.751,100.492,,,,,,,,,,,
93,21,สำนักงานเขตพระนคร,412864000,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,11621000,พระนคร,กรุงเทพมหานคร,10200.0,13.751,100.492,,,,,,,,,,,
94,21,สำนักงานเขตพระนคร,412864000,,งานควบคุมอนามัย,6791400,พระนคร,กรุงเทพมหานคร,10200.0,13.751,100.492,,,,,,,,,,,
95,21,สำนักงานเขตพระนคร,412864000,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,43502300,พระนคร,กรุงเทพมหานคร,10200.0,13.751,100.492,,,,,,,,,,,
96,22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,,รายจ่ายประจำ,252196000,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100.0,13.743,100.514,,,,,,,,,,,
97,22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,ก,แผนงานบริหารงานปกครองและทะเบียน,30211700,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100.0,13.743,100.514,,,,,,,,,,,
98,22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,ข,แผนงานบริหารการคลัง,9054800,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100.0,13.743,100.514,,,,,,,,,,,
99,22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,113250200,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100.0,13.743,100.514,,,,,,,,,,,
100,22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,28603000,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100.0,13.743,100.514,,,,,,,,,,,
101,22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,จ,แผนงานการโยธา: งานการโยธา,13342100,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100.0,13.743,100.514,,,,,,,,,,,
102,22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,5315100,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100.0,13.743,100.514,,,,,,,,,,,
103,22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,14131200,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100.0,13.743,100.514,,,,,,,,,,,
104,22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,13499900,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100.0,13.743,100.514,,,,,,,,,,,
105,22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,,งานควบคุมอนามัย,6204100,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100.0,13.743,100.514,,,,,,,,,,,
106,22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,18583900,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,10100.0,13.743,100.514,,,,,,,,,,,
107,23,สำนักงานเขตสัมพันธวงศ์,208176600,,รายจ่ายประจำ,208176600,สัมพันธวงศ์,กรุงเทพมหานคร,10100.0,13.741,100.50399999999999,,,,,,,,,,,
108,23,สำนักงานเขตสัมพันธวงศ์,208176600,ก,แผนงานบริหารงานปกครองและทะเบียน,27048900,สัมพันธวงศ์,กรุงเทพมหานคร,10100.0,13.741,100.50399999999999,,,,,,,,,,,
109,23,สำนักงานเขตสัมพันธวงศ์,208176600,ข,แผนงานบริหารการคลัง,10521800,สัมพันธวงศ์,กรุงเทพมหานคร,10100.0,13.741,100.50399999999999,,,,,,,,,,,
110,23,สำนักงานเขตสัมพันธวงศ์,208176600,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,76505600,สัมพันธวงศ์,กรุงเทพมหานคร,10100.0,13.741,100.50399999999999,,,,,,,,,,,
111,23,สำนักงานเขตสัมพันธวงศ์,208176600,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,22271700,สัมพันธวงศ์,กรุงเทพมหานคร,10100.0,13.741,100.50399999999999,,,,,,,,,,,
112,23,สำนักงานเขตสัมพันธวงศ์,208176600,จ,แผนงานการโยธา: งานการโยธา,20484200,สัมพันธวงศ์,กรุงเทพมหานคร,10100.0,13.741,100.50399999999999,,,,,,,,,,,
113,23,สำนักงานเขตสัมพันธวงศ์,208176600,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,5733600,สัมพันธวงศ์,กรุงเทพมหานคร,10100.0,13.741,100.50399999999999,,,,,,,,,,,
114,23,สำนักงานเขตสัมพันธวงศ์,208176600,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,7788100,สัมพันธวงศ์,กรุงเทพมหานคร,10100.0,13.741,100.50399999999999,,,,,,,,,,,
115,23,สำนักงานเขตสัมพันธวงศ์,208176600,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,16113300,สัมพันธวงศ์,กรุงเทพมหานคร,10100.0,13.741,100.50399999999999,,,,,,,,,,,
116,23,สำนักงานเขตสัมพันธวงศ์,208176600,,งานควบคุมอนามัย,4806100,สัมพันธวงศ์,กรุงเทพมหานคร,10100.0,13.741,100.50399999999999,,,,,,,,,,,
117,23,สำนักงานเขตสัมพันธวงศ์,208176600,ญ,แผนงานบริหารการศึกษา,16903300,สัมพันธวงศ์,กรุงเทพมหานคร,10100.0,13.741,100.50399999999999,,,,,,,,,,,
118,24,สำนักงานเขตบางรัก,246445000,,รายจ่ายประจำ,246445000,บางรัก,กรุงเทพมหานคร,10500.0,13.734000000000002,100.52,,,,,,,,,,,
119,24,สำนักงานเขตบางรัก,246445000,ก,แผนงานบริหารงานปกครองและทะเบียน,22322100,บางรัก,กรุงเทพมหานคร,10500.0,13.734000000000002,100.52,,,,,,,,,,,
120,24,สำนักงานเขตบางรัก,246445000,ข,แผนงานบริหารการคลัง,11550600,บางรัก,กรุงเทพมหานคร,10500.0,13.734000000000002,100.52,,,,,,,,,,,
121,24,สำนักงานเขตบางรัก,246445000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,113844780,บางรัก,กรุงเทพมหานคร,10500.0,13.734000000000002,100.52,,,,,,,,,,,
122,24,สำนักงานเขตบางรัก,246445000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,21961000,บางรัก,กรุงเทพมหานคร,10500.0,13.734000000000002,100.52,,,,,,,,,,,
123,24,สำนักงานเขตบางรัก,246445000,จ,แผนงานการโยธา: งานการโยธา,19772600,บางรัก,กรุงเทพมหานคร,10500.0,13.734000000000002,100.52,,,,,,,,,,,
124,24,สำนักงานเขตบางรัก,246445000,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,7340800,บางรัก,กรุงเทพมหานคร,10500.0,13.734000000000002,100.52,,,,,,,,,,,
125,24,สำนักงานเขตบางรัก,246445000,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,12075400,บางรัก,กรุงเทพมหานคร,10500.0,13.734000000000002,100.52,,,,,,,,,,,
126,24,สำนักงานเขตบางรัก,246445000,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,14167800,บางรัก,กรุงเทพมหานคร,10500.0,13.734000000000002,100.52,,,,,,,,,,,
127,24,สำนักงานเขตบางรัก,246445000,,งานควบคุมอนามัย,5263800,บางรัก,กรุงเทพมหานคร,10500.0,13.734000000000002,100.52,,,,,,,,,,,
128,24,สำนักงานเขตบางรัก,246445000,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,18146120,บางรัก,กรุงเทพมหานคร,10500.0,13.734000000000002,100.52,,,,,,,,,,,
129,25,สำนักงานเขตปทุมวัน,354141000,,รายจ่ายประจำ,354141000,ปทุมวัน,กรุงเทพมหานคร,10330.0,13.744000000000002,100.52,,,,,,,,,,,
130,25,สำนักงานเขตปทุมวัน,354141000,ก,แผนงานบริหารงานปกครองและทะเบียน,38812200,ปทุมวัน,กรุงเทพมหานคร,10330.0,13.744000000000002,100.52,,,,,,,,,,,
131,25,สำนักงานเขตปทุมวัน,354141000,ข,แผนงานบริหารการคลัง,9623900,ปทุมวัน,กรุงเทพมหานคร,10330.0,13.744000000000002,100.52,,,,,,,,,,,
132,25,สำนักงานเขตปทุมวัน,354141000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,150362600,ปทุมวัน,กรุงเทพมหานคร,10330.0,13.744000000000002,100.52,,,,,,,,,,,
133,25,สำนักงานเขตปทุมวัน,354141000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,24010200,ปทุมวัน,กรุงเทพมหานคร,10330.0,13.744000000000002,100.52,,,,,,,,,,,
134,25,สำนักงานเขตปทุมวัน,354141000,จ,แผนงานการโยธา: งานการโยธา,23082000,ปทุมวัน,กรุงเทพมหานคร,10330.0,13.744000000000002,100.52,,,,,,,,,,,
135,25,สำนักงานเขตปทุมวัน,354141000,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,5831400,ปทุมวัน,กรุงเทพมหานคร,10330.0,13.744000000000002,100.52,,,,,,,,,,,
136,25,สำนักงานเขตปทุมวัน,354141000,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,19880700,ปทุมวัน,กรุงเทพมหานคร,10330.0,13.744000000000002,100.52,,,,,,,,,,,
137,25,สำนักงานเขตปทุมวัน,354141000,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,26464000,ปทุมวัน,กรุงเทพมหานคร,10330.0,13.744000000000002,100.52,,,,,,,,,,,
138,25,สำนักงานเขตปทุมวัน,354141000,,งานควบคุมอนามัย,5735000,ปทุมวัน,กรุงเทพมหานคร,10330.0,13.744000000000002,100.52,,,,,,,,,,,
139,25,สำนักงานเขตปทุมวัน,354141000,ญ,แผนงานบริหารการศึกษา,50339000,ปทุมวัน,กรุงเทพมหานคร,10330.0,13.744000000000002,100.52,,,,,,,,,,,
140,26,สำนักงานเขตยานนาวา,310196614,,รายจ่ายประจำ,310196614,ยานนาวา,กรุงเทพมหานคร,10120.0,13.682,100.53299999999999,,,,,,,,,,,
141,26,สำนักงานเขตยานนาวา,310196614,ก,แผนงานบริหารงานปกครองและทะเบียน,27628700,ยานนาวา,กรุงเทพมหานคร,10120.0,13.682,100.53299999999999,,,,,,,,,,,
142,26,สำนักงานเขตยานนาวา,310196614,ข,แผนงานบริหารการคลัง,10636875,ยานนาวา,กรุงเทพมหานคร,10120.0,13.682,100.53299999999999,,,,,,,,,,,
143,26,สำนักงานเขตยานนาวา,310196614,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,130687300,ยานนาวา,กรุงเทพมหานคร,10120.0,13.682,100.53299999999999,,,,,,,,,,,
144,26,สำนักงานเขตยานนาวา,310196614,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,13696300,ยานนาวา,กรุงเทพมหานคร,10120.0,13.682,100.53299999999999,,,,,,,,,,,
145,26,สำนักงานเขตยานนาวา,310196614,จ,แผนงานการโยธา: งานการโยธา,12713000,ยานนาวา,กรุงเทพมหานคร,10120.0,13.682,100.53299999999999,,,,,,,,,,,
146,26,สำนักงานเขตยานนาวา,310196614,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,20063000,ยานนาวา,กรุงเทพมหานคร,10120.0,13.682,100.53299999999999,,,,,,,,,,,
147,26,สำนักงานเขตยานนาวา,310196614,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,19715600,ยานนาวา,กรุงเทพมหานคร,10120.0,13.682,100.53299999999999,,,,,,,,,,,
