หมายเลขงบ,ชื่องบ,จำนวนรวม,หมายเลขงบแผนงาน,แผนงาน,งบแผนงาน,เขต,province,zipcode,latitude,longitude
27,สำนักงานเขตดุสิต,401245000,ก,แผนงานบริหารงานปกครองและทะเบียน,44663100,ดุสิต,กรุงเทพมหานคร,10300.0,13.772,100.51299999999999
27,สำนักงานเขตดุสิต,401245000,ข,แผนงานบริหารการคลัง,11408200,ดุสิต,กรุงเทพมหานคร,10300.0,13.772,100.51299999999999
27,สำนักงานเขตดุสิต,401245000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,173520000,ดุสิต,กรุงเทพมหานคร,10300.0,13.772,100.51299999999999
27,สำนักงานเขตดุสิต,401245000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,32906800,ดุสิต,กรุงเทพมหานคร,10300.0,13.772,100.51299999999999
27,สำนักงานเขตดุสิต,401245000,จ,แผนงานการโยธา: งานการโยธา,13398600,ดุสิต,กรุงเทพมหานคร,10300.0,13.772,100.51299999999999
27,สำนักงานเขตดุสิต,401245000,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,15364700,ดุสิต,กรุงเทพมหานคร,10300.0,13.772,100.51299999999999
27,สำนักงานเขตดุสิต,401245000,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,22129400,ดุสิต,กรุงเทพมหานคร,10300.0,13.772,100.51299999999999
27,สำนักงานเขตดุสิต,401245000,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,24394700,ดุสิต,กรุงเทพมหานคร,10300.0,13.772,100.51299999999999
27,สำนักงานเขตดุสิต,401245000,,งานควบคุมอนามัย,6467800,ดุสิต,กรุงเทพมหานคร,10300.0,13.772,100.51299999999999
27,สำนักงานเขตดุสิต,401245000,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,56991700,ดุสิต,กรุงเทพมหานคร,10300.0,13.772,100.51299999999999
28,สำนักงานเขตพญาไท,335172500,,รายจ่ายประจำ,335172500,พญาไท,กรุงเทพมหานคร,10400.0,13.782,100.545
28,สำนักงานเขตพญาไท,335172500,ก,แผนงานบริหารงานปกครองและทะเบียน,35574800,พญาไท,กรุงเทพมหานคร,10400.0,13.782,100.545
28,สำนักงานเขตพญาไท,335172500,ข,แผนงานบริหารการคลัง,10959000,พญาไท,กรุงเทพมหานคร,10400.0,13.782,100.545
28,สำนักงานเขตพญาไท,335172500,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,144999500,พญาไท,กรุงเทพมหานคร,10400.0,13.782,100.545
28,สำนักงานเขตพญาไท,335172500,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,21563500,พญาไท,กรุงเทพมหานคร,10400.0,13.782,100.545
28,สำนักงานเขตพญาไท,335172500,จ,แผนงานการโยธา: งานการโยธา,35281700,พญาไท,กรุงเทพมหานคร,10400.0,13.782,100.545
28,สำนักงานเขตพญาไท,335172500,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,17801600,พญาไท,กรุงเทพมหานคร,10400.0,13.782,100.545
28,สำนักงานเขตพญาไท,335172500,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,22853500,พญาไท,กรุงเทพมหานคร,10400.0,13.782,100.545
28,สำนักงานเขตพญาไท,335172500,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,25509100,พญาไท,กรุงเทพมหานคร,10400.0,13.782,100.545
28,สำนักงานเขตพญาไท,335172500,,งานควบคุมอนามัย,6001400,พญาไท,กรุงเทพมหานคร,10400.0,13.782,100.545
28,สำนักงานเขตพญาไท,335172500,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,14628400,พญาไท,กรุงเทพมหานคร,10400.0,13.782,100.545
29,สำนักงานเขตห้วยขวาง,352262000,,รายจ่ายประจำ,352262000,ห้วยขวาง,กรุงเทพมหานคร,10310.0,13.769,100.57700000000001
29,สำนักงานเขตห้วยขวาง,352262000,ก,แผนงานบริหารงานปกครองและทะเบียน,29403800,ห้วยขวาง,กรุงเทพมหานคร,10310.0,13.769,100.57700000000001
29,สำนักงานเขตห้วยขวาง,352262000,ข,แผนงานบริหารการคลัง,12503600,ห้วยขวาง,กรุงเทพมหานคร,10310.0,13.769,100.57700000000001
29,สำนักงานเขตห้วยขวาง,352262000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,141522600,ห้วยขวาง,กรุงเทพมหานคร,10310.0,13.769,100.57700000000001
29,สำนักงานเขตห้วยขวาง,352262000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,17420700,ห้วยขวาง,กรุงเทพมหานคร,10310.0,13.769,100.57700000000001
29,สำนักงานเขตห้วยขวาง,352262000,จ,แผนงานการโยธา: งานการโยธา,44650400,ห้วยขวาง,กรุงเทพมหานคร,10310.0,13.769,100.57700000000001
29,สำนักงานเขตห้วยขวาง,352262000,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,17800800,ห้วยขวาง,กรุงเทพมหานคร,10310.0,13.769,100.57700000000001
29,สำนักงานเขตห้วยขวาง,352262000,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,27137400,ห้วยขวาง,กรุงเทพมหานคร,10310.0,13.769,100.57700000000001
29,สำนักงานเขตห้วยขวาง,352262000,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,19820300,ห้วยขวาง,กรุงเทพมหานคร,10310.0,13.769,100.57700000000001
29,สำนักงานเขตห้วยขวาง,352262000,,งานควบคุมอนามัย,6976600,ห้วยขวาง,กรุงเทพมหานคร,10310.0,13.769,100.57700000000001
29,สำนักงานเขตห้วยขวาง,352262000,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,35025800,ห้วยขวาง,กรุงเทพมหานคร,10310.0,13.769,100.57700000000001
30,สำนักงานเขตพระโขนง,281172800,,รายจ่ายประจำ,281172800,พระโขนง,กรุงเทพมหานคร,10260.0,13.692,100.626
30,สำนักงานเขตพระโขนง,281172800,ก,แผนงานบริหารงานปกครองและทะเบียน,25858200,พระโขนง,กรุงเทพมหานคร,10260.0,13.692,100.626
30,สำนักงานเขตพระโขนง,281172800,ข,แผนงานบริหารการคลัง,9878500,พระโขนง,กรุงเทพมหานคร,10260.0,13.692,100.626
30,สำนักงานเขตพระโขนง,281172800,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,96871000,พระโขนง,กรุงเทพมหานคร,10260.0,13.692,100.626
30,สำนักงานเขตพระโขนง,281172800,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,12435300,พระโขนง,กรุงเทพมหานคร,10260.0,13.692,100.626
30,สำนักงานเขตพระโขนง,281172800,จ,แผนงานการโยธา: งานการโยธา,20711900,พระโขนง,กรุงเทพมหานคร,10260.0,13.692,100.626
30,สำนักงานเขตพระโขนง,281172800,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,19442100,พระโขนง,กรุงเทพมหานคร,10260.0,13.692,100.626
30,สำนักงานเขตพระโขนง,281172800,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,26240700,พระโขนง,กรุงเทพมหานคร,10260.0,13.692,100.626
30,สำนักงานเขตพระโขนง,281172800,,งานควบคุมอนามัย,5749300,พระโขนง,กรุงเทพมหานคร,10260.0,13.692,100.626
30,สำนักงานเขตพระโขนง,281172800,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,27036500,พระโขนง,กรุงเทพมหานคร,10260.0,13.692,100.626
31,สำนักงานเขตบางกะปิ,524131000,,รายจ่ายประจำ,524131000,บางกะปิ,กรุงเทพมหานคร,10240.0,13.786,100.635
31,สำนักงานเขตบางกะปิ,524131000,ก,แผนงานบริหารงานปกครองและทะเบียน,29521600,บางกะปิ,กรุงเทพมหานคร,10240.0,13.786,100.635
31,สำนักงานเขตบางกะปิ,524131000,ข,แผนงานบริหารการคลัง,10745500,บางกะปิ,กรุงเทพมหานคร,10240.0,13.786,100.635
31,สำนักงานเขตบางกะปิ,524131000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,165515700,บางกะปิ,กรุงเทพมหานคร,10240.0,13.786,100.635
31,สำนักงานเขตบางกะปิ,524131000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,20357700,บางกะปิ,กรุงเทพมหานคร,10240.0,13.786,100.635
31,สำนักงานเขตบางกะปิ,524131000,จ,แผนงานการโยธา,91994600,บางกะปิ,กรุงเทพมหานคร,10240.0,13.786,100.635
31,สำนักงานเขตบางกะปิ,524131000,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,16877900,บางกะปิ,กรุงเทพมหานคร,10240.0,13.786,100.635
31,สำนักงานเขตบางกะปิ,524131000,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,28716000,บางกะปิ,กรุงเทพมหานคร,10240.0,13.786,100.635
31,สำนักงานเขตบางกะปิ,524131000,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,33836900,บางกะปิ,กรุงเทพมหานคร,10240.0,13.786,100.635
31,สำนักงานเขตบางกะปิ,524131000,,งานควบคุมอนามัย,7697000,บางกะปิ,กรุงเทพมหานคร,10240.0,13.786,100.635
31,สำนักงานเขตบางกะปิ,524131000,ญ,แผนงานบริหารการศึกษา,118868100,บางกะปิ,กรุงเทพมหานคร,10240.0,13.786,100.635
32,สำนักงานเขตบางเขน,421948600,,รายจ่ายประจำ,421948600,บางเขน,กรุงเทพมหานคร,10220.0,13.868,100.60600000000001
32,สำนักงานเขตบางเขน,421948600,ก,แผนงานบริหารงานปกครองและทะเบียน,33297700,บางเขน,กรุงเทพมหานคร,10220.0,13.868,100.60600000000001
32,สำนักงานเขตบางเขน,421948600,ข,แผนงานบริหารการคลัง,12320000,บางเขน,กรุงเทพมหานคร,10220.0,13.868,100.60600000000001
32,สำนักงานเขตบางเขน,421948600,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,137771300,บางเขน,กรุงเทพมหานคร,10220.0,13.868,100.60600000000001
32,สำนักงานเขตบางเขน,421948600,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,17262900,บางเขน,กรุงเทพมหานคร,10220.0,13.868,100.60600000000001
32,สำนักงานเขตบางเขน,421948600,จ,แผนงานการโยธา: งานการโยธา,83058900,บางเขน,กรุงเทพมหานคร,10220.0,13.868,100.60600000000001
32,สำนักงานเขตบางเขน,421948600,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,23986400,บางเขน,กรุงเทพมหานคร,10220.0,13.868,100.60600000000001
32,สำนักงานเขตบางเขน,421948600,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,25472300,บางเขน,กรุงเทพมหานคร,10220.0,13.868,100.60600000000001
32,สำนักงานเขตบางเขน,421948600,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,26576500,บางเขน,กรุงเทพมหานคร,10220.0,13.868,100.60600000000001
32,สำนักงานเขตบางเขน,421948600,,งานควบคุมอนามัย,7696000,บางเขน,กรุงเทพมหานคร,10220.0,13.868,100.60600000000001
32,สำนักงานเขตบางเขน,421948600,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,54506600,บางเขน,กรุงเทพมหานคร,10220.0,13.868,100.60600000000001
33,สำนักงานเขตมีนบุรี,509962100,,รายจ่ายประจำ,509962100,มีนบุรี,กรุงเทพมหานคร,10510.0,13.804,100.723
33,สำนักงานเขตมีนบุรี,509962100,ก,แผนงานบริหารงานปกครองและทะเบียน,28201300,มีนบุรี,กรุงเทพมหานคร,10510.0,13.804,100.723
33,สำนักงานเขตมีนบุรี,509962100,ข,แผนงานบริหารการคลัง,12148800,มีนบุรี,กรุงเทพมหานคร,10510.0,13.804,100.723
33,สำนักงานเขตมีนบุรี,509962100,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,112149700,มีนบุรี,กรุงเทพมหานคร,10510.0,13.804,100.723
33,สำนักงานเขตมีนบุรี,509962100,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,16360100,มีนบุรี,กรุงเทพมหานคร,10510.0,13.804,100.723
33,สำนักงานเขตมีนบุรี,509962100,จ,แผนงานการโยธา,104579900,มีนบุรี,กรุงเทพมหานคร,10510.0,13.804,100.723
33,สำนักงานเขตมีนบุรี,509962100,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,25417400,มีนบุรี,กรุงเทพมหานคร,10510.0,13.804,100.723
33,สำนักงานเขตมีนบุรี,509962100,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,28466000,มีนบุรี,กรุงเทพมหานคร,10510.0,13.804,100.723
33,สำนักงานเขตมีนบุรี,509962100,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,67090700,มีนบุรี,กรุงเทพมหานคร,10510.0,13.804,100.723
33,สำนักงานเขตมีนบุรี,509962100,,งานควบคุมอนามัย,6085300,มีนบุรี,กรุงเทพมหานคร,10510.0,13.804,100.723
33,สำนักงานเขตมีนบุรี,509962100,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,109462900,มีนบุรี,กรุงเทพมหานคร,10510.0,13.804,100.723
34,สำนักงานเขตลาดกระบัง,567466000,,รายจ่ายประจำ,567466000,ลาดกระบัง,กรุงเทพมหานคร,10520.0,13.722999999999999,100.771
34,สำนักงานเขตลาดกระบัง,567466000,ก,แผนงานบริหารงานปกครองและทะเบียน,29008300,ลาดกระบัง,กรุงเทพมหานคร,10520.0,13.722999999999999,100.771
34,สำนักงานเขตลาดกระบัง,567466000,ข,แผนงานบริหารการคลัง,12067600,ลาดกระบัง,กรุงเทพมหานคร,10520.0,13.722999999999999,100.771
34,สำนักงานเขตลาดกระบัง,567466000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,163977300,ลาดกระบัง,กรุงเทพมหานคร,10520.0,13.722999999999999,100.771
34,สำนักงานเขตลาดกระบัง,567466000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,19817200,ลาดกระบัง,กรุงเทพมหานคร,10520.0,13.722999999999999,100.771
34,สำนักงานเขตลาดกระบัง,567466000,จ,แผนงานการโยธา: งานการโยธา,78123300,ลาดกระบัง,กรุงเทพมหานคร,10520.0,13.722999999999999,100.771
34,สำนักงานเขตลาดกระบัง,567466000,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,21658100,ลาดกระบัง,กรุงเทพมหานคร,10520.0,13.722999999999999,100.771
34,สำนักงานเขตลาดกระบัง,567466000,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,39381200,ลาดกระบัง,กรุงเทพมหานคร,10520.0,13.722999999999999,100.771
34,สำนักงานเขตลาดกระบัง,567466000,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,48549000,ลาดกระบัง,กรุงเทพมหานคร,10520.0,13.722999999999999,100.771
34,สำนักงานเขตลาดกระบัง,567466000,,งานควบคุมอนามัย,6006000,ลาดกระบัง,กรุงเทพมหานคร,10520.0,13.722999999999999,100.771
34,สำนักงานเขตลาดกระบัง,567466000,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,148878000,ลาดกระบัง,กรุงเทพมหานคร,10520.0,13.722999999999999,100.771
35,สำนักงานเขตหนองจอก,589363000,,รายจ่ายประจำ,589363000,หนองจอก,กรุงเทพมหานคร,10530.0,13.823,100.897
35,สำนักงานเขตหนองจอก,589363000,ก,แผนงานบริหารงานปกครองและทะเบียน,32415100,หนองจอก,กรุงเทพมหานคร,10530.0,13.823,100.897
35,สำนักงานเขตหนองจอก,589363000,ข,แผนงานบริหารการคลัง,12414400,หนองจอก,กรุงเทพมหานคร,10530.0,13.823,100.897
35,สำนักงานเขตหนองจอก,589363000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,93885700,หนองจอก,กรุงเทพมหานคร,10530.0,13.823,100.897
35,สำนักงานเขตหนองจอก,589363000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,19928900,หนองจอก,กรุงเทพมหานคร,10530.0,13.823,100.897
35,สำนักงานเขตหนองจอก,589363000,จ,แผนงานการโยธา: งานการโยธา,80592700,หนองจอก,กรุงเทพมหานคร,10530.0,13.823,100.897
35,สำนักงานเขตหนองจอก,589363000,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,19809400,หนองจอก,กรุงเทพมหานคร,10530.0,13.823,100.897
35,สำนักงานเขตหนองจอก,589363000,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,36934800,หนองจอก,กรุงเทพมหานคร,10530.0,13.823,100.897
35,สำนักงานเขตหนองจอก,589363000,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,72534800,หนองจอก,กรุงเทพมหานคร,10530.0,13.823,100.897
35,สำนักงานเขตหนองจอก,589363000,,งานควบคุมอนามัย,6397400,หนองจอก,กรุงเทพมหานคร,10530.0,13.823,100.897
35,สำนักงานเขตหนองจอก,589363000,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,214449800,หนองจอก,กรุงเทพมหานคร,10530.0,13.823,100.897
36,สำนักงานเขตธนบุรี,397104900,,รายจ่ายประจำ,397104900,ธนบุรี,กรุงเทพมหานคร,10600.0,13.737,100.493
36,สำนักงานเขตธนบุรี,397104900,ก,แผนงานบริหารงานปกครองและทะเบียน,28360500,ธนบุรี,กรุงเทพมหานคร,10600.0,13.737,100.493
36,สำนักงานเขตธนบุรี,397104900,ข,แผนงานบริหารการคลัง,11562500,ธนบุรี,กรุงเทพมหานคร,10600.0,13.737,100.493
36,สำนักงานเขตธนบุรี,397104900,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,164214300,ธนบุรี,กรุงเทพมหานคร,10600.0,13.737,100.493
36,สำนักงานเขตธนบุรี,397104900,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,22683900,ธนบุรี,กรุงเทพมหานคร,10600.0,13.737,100.493
36,สำนักงานเขตธนบุรี,397104900,จ,แผนงานการโยธา,29220600,ธนบุรี,กรุงเทพมหานคร,10600.0,13.737,100.493
36,สำนักงานเขตธนบุรี,397104900,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,21102100,ธนบุรี,กรุงเทพมหานคร,10600.0,13.737,100.493
36,สำนักงานเขตธนบุรี,397104900,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,21314800,ธนบุรี,กรุงเทพมหานคร,10600.0,13.737,100.493
36,สำนักงานเขตธนบุรี,397104900,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,20726200,ธนบุรี,กรุงเทพมหานคร,10600.0,13.737,100.493
36,สำนักงานเขตธนบุรี,397104900,,งานควบคุมอนามัย,5435900,ธนบุรี,กรุงเทพมหานคร,10600.0,13.737,100.493
36,สำนักงานเขตธนบุรี,397104900,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,72484100,ธนบุรี,กรุงเทพมหานคร,10600.0,13.737,100.493
37,สำนักงานเขตคลองสาน,309402000,,รายจ่ายประจำ,309402000,คลองสาน,กรุงเทพมหานคร,10600.0,13.731,100.49700000000001
37,สำนักงานเขตคลองสาน,309402000,ก,แผนงานบริหารงานปกครองและทะเบียน,26849900,คลองสาน,กรุงเทพมหานคร,10600.0,13.731,100.49700000000001
37,สำนักงานเขตคลองสาน,309402000,ข,แผนงานบริหารการคลัง,10823700,คลองสาน,กรุงเทพมหานคร,10600.0,13.731,100.49700000000001
37,สำนักงานเขตคลองสาน,309402000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,120720400,คลองสาน,กรุงเทพมหานคร,10600.0,13.731,100.49700000000001
37,สำนักงานเขตคลองสาน,309402000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,22063900,คลองสาน,กรุงเทพมหานคร,10600.0,13.731,100.49700000000001
37,สำนักงานเขตคลองสาน,309402000,จ,แผนงานการโยธา: งานการโยธา,20654300,คลองสาน,กรุงเทพมหานคร,10600.0,13.731,100.49700000000001
37,สำนักงานเขตคลองสาน,309402000,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,9481400,คลองสาน,กรุงเทพมหานคร,10600.0,13.731,100.49700000000001
37,สำนักงานเขตคลองสาน,309402000,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,20835500,คลองสาน,กรุงเทพมหานคร,10600.0,13.731,100.49700000000001
37,สำนักงานเขตคลองสาน,309402000,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,16381900,คลองสาน,กรุงเทพมหานคร,10600.0,13.731,100.49700000000001
37,สำนักงานเขตคลองสาน,309402000,,งานควบคุมอนามัย,6052000,คลองสาน,กรุงเทพมหานคร,10600.0,13.731,100.49700000000001
37,สำนักงานเขตคลองสาน,309402000,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,55539000,คลองสาน,กรุงเทพมหานคร,10600.0,13.731,100.49700000000001
38,สำนักงานเขตบางกอกใหญ่,267938900,,รายจ่ายประจำ,267938900,บางกอกใหญ่,กรุงเทพมหานคร,10600.0,13.743,100.486
38,สำนักงานเขตบางกอกใหญ่,267938900,ก,แผนงานบริหารงานปกครองและทะเบียน,27017100,บางกอกใหญ่,กรุงเทพมหานคร,10600.0,13.743,100.486
38,สำนักงานเขตบางกอกใหญ่,267938900,ข,แผนงานบริหารการคลัง,10302300,บางกอกใหญ่,กรุงเทพมหานคร,10600.0,13.743,100.486
38,สำนักงานเขตบางกอกใหญ่,267938900,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,97332400,บางกอกใหญ่,กรุงเทพมหานคร,10600.0,13.743,100.486
38,สำนักงานเขตบางกอกใหญ่,267938900,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,13548400,บางกอกใหญ่,กรุงเทพมหานคร,10600.0,13.743,100.486
38,สำนักงานเขตบางกอกใหญ่,267938900,จ,แผนงานการโยธา: งานการโยธา,17889100,บางกอกใหญ่,กรุงเทพมหานคร,10600.0,13.743,100.486
